Nova_Name,SIMBAD_Name,Input_Name,Nova_Aliases,Discovery_Date,Nova_Otypes,is_nova,is_recurrent,Peak_Mag,Filter,Uncertainty
CK Vul,CK Vul,CK Vul,TIC 452248097|WISEA J194738.01+271842.3|Gaia DR3 2027981169466476544|AAVSO 1943+27|NOVA Vul 1670|CK Vul|2MASS J19473793+2718418|WISE J194737.93+271842.7|[HVZ2013] variable 1|Gaia DR2 2027981169466476544|*  11 Vul,1670-06-20,*|CV*|LP?|MIR|NIR|No*|V*,True,False,,,False
V841 Oph,V841 Oph,V841 Oph,TIC 434649444|UCAC4 386-075400|WISE J165930.37-125327.0|WISEA J165930.37-125327.1|Gaia DR3 4333061392472253440|2E  3793|AAVSO 1653-12|BD-12  4633|EM* CDS  909|GCRV 66682|NOVA Oph 1848|V841 Oph|2MASS J16593037-1253271|2E 1656.7-1249|HR  6309|Gaia DR2 4333061392472253440,1848-04-27,*|CV*|Em*|MIR|NIR|No*|V*|X,True,False,,,False
T CrB,T CrB,T CrB,TIC 462607643|WISEA J155930.14+255512.6|HIP 78322|Gaia DR3 1220110705972528512|SRGA J155929.5+255512|SBC9 877|DO 15377|AAVSO 1555+26|AG+26 1536|BD+26  2765|CCDM J15595+2555AB|EM* MWC  413|GC 21491|GCRV  9203|GSC 02037-01144|HD 143454|HIC  78322|HR  5958|IDS 15553+2612 AB|IRAS 15574+2603|NOVA CrB 1866|NOVA CrB 1946|PPM 104498|SAO  84129|SBC7   558|TYC 2037-1144-1|T CrB|2MASS J15593015+2555126|SWIFT J1559.5+2553|WDS J15595+2555AB|PBC J1559.4+2556|SWIFT J1559.6+2554|1SWASP J155930.15+255512.5|Gaia DR1 1220110701675511040|WEB 13243|Gaia DR2 1220110705972528512|GEN# +1.00143454|** JEF    2|uvby98 100143454|UCAC4 580-052260|WISE J155930.15+255512.7|NAME-IAU Blaze Star,1866-05-12,*|**|Em*|IR|LP*|LP?|MIR|NIR|No*|SB*|Sy*|V*|X,True,False,,,False
IL Nor,IL Nor,IL Nor,TIC 144875699|CSI-50-15257|HD 137677|IC 4544|NOVA Nor 1893|SV* HV    25|IL Nor|2MASS J15292318-5035007,1893-07-10,*|NIR|No*|V*,True,False,,,False
RS Car,RS Car,RS Car,Gaia DR2 5337105616767093632|AAVSO 1103-61|CSI-61-11059|HD  96830|NOVA Car 1895|SV* HV    47|RS Car,1895-04-08,*|CV*|No*|V*,True,False,,,False
LQ Sgr,SV* HV  4475,LQ Sgr,TIC 53661083|WISE J182828.89-275519.2|WISEA J182828.87-275519.2|Gaia DR3 4051609746132911360|AAVSO 1822-27|IRAS 18253-2757|NOVA Sgr 1897|SV* HV  4475|LQ Sgr|2MASS J18282891-2755191|Gaia DR2 4051609746132911360,1897-09-21,*|IR|LP*|LP?|MIR|Mi*|NIR|No*|V*,True,False,,,False
V1059 Sgr,V1059 Sgr,V1059 Sgr,TIC 414239780|Gaia DR3 4198482401904374016|AAVSO 1856-13|CSI-13-18590|HD 176654|IC 4816|NOVA Sgr 1898|SV* HV   129|V1059 Sgr|2MASS J19015056-1309420|Gaia DR2 4198482401904374016|SBC9 3584,1898-03-08,*|NIR|No*|SB*|V*,True,False,,,False
V606 Aql,HD 181419,V606 Aql,AAVSO 1915-00|AN   11.1900|BD-00  3708a|CSI-00  3708  1|HD 181419|IC 4850|NOVA Aql 1899|SV* HV   130|V606 Aql,1899-04-21,*|No*|V*,True,False,,,False
V1016 Sgr,V1016 Sgr,V1016 Sgr,TIC 128376490|Gaia DR3 4065203141422368256|AAVSO 1813-25|AN  132.1910|NOVA Sgr 1899|SV* HV  3306|V1016 Sgr|2MASS J18195762-2511146|HR  7189|Gaia DR2 4065203141422368256,1899-10-13,*|NIR|No*|V*,True,False,,,False
GK Per,GK Per,GK Per,TIC 431762266|UCAC4 670-019077|WISE J033111.99+435415.3|LAMOST J033112.00+435415.2|WISEA J033112.00+435415.2|PN G150.9-10.1|GALEX J033112.0+435415|Gaia DR3 238540495056450048|SRGA J033112.4+435416|[KRL2007b] 32|PLX  728|SBC9 171|1A 0327+43|2E   785|3A 0327+438|AAVSO 0324+43|AN    3.1901|BD+43   740a|CSI+43   740  2|EM* CDS  368|GCRV 54133|GCRV  1932|HD  21629|NOVA Per 1901|SBC7   123|GK Per|[BM83] X0327+437|PLX  728.00|1RXS J033111.9+435427|2E 0327.7+4344|HR  1057|PBC J0331.1+4353|SWIFT J0331.1+4355|SWIFT J0331.2+4354|2MASS J03311201+4354154|2MAXI J0330+438|KPD 0327+4343|WEB  3134|Gaia DR2 238540495056450048,1901-02-21,*|CV*|Em*|MIR|NIR|No*|Opt|PN|PN?|SB*|UV|V*|X,True,False,,,False
V1014 Sgr,V1014 Sgr,V1014 Sgr,AAVSO 1800-27|AN   22.1911|NOVA Sgr 1901|SV* HV  3312|V1014 Sgr,1901-05-22,No*|V*,True,False,,,False
V382 Sco,V382 Sco,V382 Sco,AAVSO 1745-35B|NOVA Sco 1901|SV* HV  7006|V382 Sco,1901-09-02,No*|V*,True,False,,,False
DM Gem,DM Gem,DM Gem,Gaia DR2 3434744312220014464|AAVSO 0637+30|AN   12.1903|CSI+30-06409|HD  48328|NOVA Gem 1903|DM Gem|HR  2472,1903-03-16,*|CV*|No*|V*,True,False,,,False
V607 Aql,V607 Aql,V607 Aql,TIC 213614688|ATO J293.8564+00.7114|ASASSN-V J193525.56+004241.0|WISEA J193525.56+004240.9|WISE J193525.50+004241.1|AKARI-IRC-V1 J1935255+004239|ZTF J193525.54+004240.8|Gaia DR3 4239545488994881792|2MASS J19352554+0042410|V607 Aql|RAFGL 5400S|NOVA Aql 1904|IRC +00445|IRAS 19328+0035|AN   31.1905|ASAS J193526+0042.7|SV* R   219|Gaia DR2 4239545488994881792,1904-07-06,*|AB*|IR|LP*|LP?|MIR|Mi*|NIR|No*|Opt|V*,True,False,,,False
V1015 Sgr,V1015 Sgr,V1015 Sgr,AAVSO 1802-32|NOVA Sgr 1905|SV* HV  3529|V1015 Sgr,1905-08-18,No*|V*,True,False,,,False
V604 Aql,V604 Aql,V604 Aql,AAVSO 1856-04|AN  104.1905|CSI-04-18594|HD 176779|NOVA Aql 1905|V604 Aql|SV* HV  1175,1905-08-31,*|No*|V*,True,False,,,False
CN Vel,CN Vel,CN Vel,Gaia DR3 5347263871563224192|AN  154.1906|CSI-54-11004|HD  95821|NOVA Vel 1905|SV* HV  1268|CN Vel|USNO-B1.0 0356-00252251|Gaia DR2 5347263871563224192,1905-12-05,*|CV*|No*|V*,True,False,,,False
AR Cir,AR Cir,AR Cir,Gaia DR2 5878160484067755520|AAVSO 1440-59|AN  102.1907|NOVA Cir 1906|SV* HV  2954|AR Cir,1906-02-14,*|CV*|No*|V*,True,False,,,False
V711 Sco,V711 Sco,V711 Sco,TIC 257261181|AAVSO 1747-34|AN   19.1908|NOVA Sco 1906|SV* HV  3061|V711 Sco|2MASS J17540615-3421154,1906-04-24,CV*|NIR|No*|V*,True,False,,,False
VY Aqr,VY Aqr,VY Aqr,TIC 423564048|Gaia DR3 6896767366186700416|SBC9 2427|2MASS J21120925-0849367|AAVSO 2106-09|NOVA Aqr 1907|NOVA Aql 1907|SV* R    88|VY Aqr|PM J21121-0849|Gaia DR2 6896767366186700416,1907-08-12,*|CV*|NIR|No*|PM*|SB*|V*,True,False,,,False
V999 Sgr,V999 Sgr,V999 Sgr,Gaia DR2 4062801636411785600|AAVSO 1753-27|AN   96.1910|CSI-27-17569|HD 163982|NOVA Sgr 1910|SV* HV  3304|V999 Sgr,1910-03-21,*|CV*|No*|V*,True,False,,,False
OY Ara,OY Ara,OY Ara,Gaia DR2 5931112345565292160|AN   98.1910|NOVA Ara 1910|OY Ara|SV* HV  3305,1910-04-04,*|CV*|EB*|No*|V*,True,False,,,False
DI Lac,DI Lac,DI Lac,TIC 428063994|WISEA J223548.50+524259.7|Gaia DR3 2002212087238591488|PLX 5469|AAVSO 2231+52B|AN  137.1910|CSI+52-22338|EM* CDS 1371|GCRV 73344|HD 214239|NAME PKD 2233+5227|NOVA Lac 1910|DI Lac|2MASS J22354848+5242596|PLX 5469.00|KPD 2233+5227|UCAC4 714-100518|WISE J223548.49+524259.4|Gaia DR2 2002212087238591488,1910-12-30,*|CV*|Em*|MIR|NIR|No*|UV|V*,True,False,,,False
UW Per,UW Per,UW Per,AN   21.1912|NOVA Per 1912|UW Per,1912-01-12,CV*|No*|V*,True,False,,,False
DN Gem,DN Gem,DN Gem,TIC 68580394|UCAC4 611-036883|Gaia DR3 889417190756323584|2MASS J06545435+3208280|PLX 1610|AAVSO 0648+32|AN   18.1912|CSI+32-06516|EM* CDS  638|GCRV  4508|HD  50480|NOVA Gem 1912|DN Gem|PLX 1610.00|WEB  6681|Gaia DR2 889417190756323584,1912-03-12,*|CV*|Em*|HS?|NIR|No*|V*|blu,True,False,,,False
V941 Sgr,V941 Sgr,V941 Sgr,TIC 228317409|ASASSN-V J183443.56-293449.3|WISEA J183443.45-293449.0|WISE J183443.45-293449.0|AKARI-IRC-V1 J1834434-293448|OGLE BLG700.23  32045|OGLE BLG-LPV-265126|Gaia DR3 4048189199712152320|NOVA Sgr 1912|ASAS J183444-2934.8|SV* ZI  1430|V941 Sgr|2MASS J18344345-2934491|SV* INN    27|[MM63] 5-4|Gaia DR2 4048189199712152320,1912-06-21,*|LP*|MIR|Mi*|NIR|No*|V*,True,False,,,False
WZ Sge,WZ Sge,WZ Sge,TIC 86408822|3XMM J200736.5+174213|UCAC4 539-122231|Gaia DR3 1809844934461976832|PLX 4778|SBC9 1204|2E  4322|2MASS J20073649+1742147|AAVSO 2003+17|CSI+17-20053  2|EGGR 136|EM* CDS 1133|FB 173|GCRV 70442|Lan  50|NOVA Sge 1913|NOVA Sge 1946|NOVA Sge 1978|UBV   17296|WZ Sge|WD 2003+17|uvby98 620020136|SV* HV  3518|PLX 4778.00|1ES 2005+17.5|1RXS J200736.4+174217|2E 2005.3+1733|WEB 17643|Gaia DR2 1809844934461976832,1913-11-22,*|CV*|Em*|NIR|No*|PM*|SB*|UV|V*|WD*|WD?|X|blu,True,False,,,False
V949 Sgr,V949 Sgr,V949 Sgr,TIC 153643819|WISEA J184103.09-280935.8|ASASSN-V J184103.21-280935.9|AKARI-IRC-V1 J1841030-280935|OGLE BLG755.12  24291|OGLE BLG-LPV-265700|Gaia DR3 4072417724402243712|WISE J184103.08-280935.7|GSC 06870-01383|IRAS 18379-2812|Mis V0508|NOVA Sgr 1914 b|SV* INN    46|SV* ZI  1468|USNO-A2.0 0600-36532866|V949 Sgr|2MASS J18410309-2809357|Gaia DR2 4072417724402243712,1914-07-16,*|IR|LP*|MIR|Mi*|NIR|No*|V*,True,False,,,False
V1012 Sgr,V1012 Sgr,V1012 Sgr,AAVSO 1759-31|NOVA Sgr 1914 c|SV* HV  3531|V1012 Sgr,1914-08-12,No*|V*,True,False,,,False
V840 Oph,V840 Oph,V840 Oph,AAVSO 1648-29|AN    2.1920|NOVA Oph 1917|NOVA Sco 1917|SV* HV  3522|V840 Oph,1917-04-25,No*|V*,True,False,,,False
GI Mon,GI Mon,GI Mon,TIC 5657040|ATO J111.6962-06.6749|Gaia DR3 3054845658802097280|AAVSO 0721-06|AN    2.1918|CSI-06-07243|HD  58756|NOVA Mon 1918|GI Mon|2MASS J07264710-0640297|Gaia DR2 3054845658802097280,1918-02-04,*|CV*|NIR|No*|Opt|Pu*|V*,True,False,,,False
RZ Leo,RZ Leo,RZ Leo,TIC 380576494|1RXS J113723.5+014847|Gaia DR3 3799290858445023488|AN   30.1919|2MASS J11372227+0148584|AAVSO 1132+02|NOVA Leo 1918|RZ Leo|SDSS J113722.24+014858.5|1SDSS J113722.25+014858.6|SDSS J113722.25+014848.6|SDSS J113722.25+014858.6|PM J11373+0148|WD 1134+020|EPIC 201585290|2QZ J113722.2+014857|SDSS J113722.20+014858.7|Gaia DR2 3799290858445023488,1918-03-13,*|CV*|CV?|NIR|No*|Opt|PM*|V*|WD*|X,True,False,,,False
V603 Aql,V603 Aql,V603 Aql,TIC 173460141|UCAC4 453-082415|WISE J184854.64+003503.4|WISEA J184854.63+003503.3|HIP 92316|BSD 110-794|Gaia DR3 4266547566124966912|SRGA J184855.6+003447|NAME Nova Aquila No 3|PLX 4341|SBC9 1086|2E  4138|AAVSO 1843+00|ALS  9992|AN    7.1918|CSI+00-18463|EM* CDS 1028|FASTT 1189|GCRV 68659|GEN# +8.04000003|GSC 00448-00423|HBHA  202-05|HD 174107|HIC  92316|KPD 1846+0031|LS  IV +00    3|NOVA Aql 1918|SBC7   706|UBV M  51004|V603 Aql|[KW97] 35-7|[P2004] 17|2MASS J18485464+0035030|EM* RJHA  116|PLX 4341.00|1ES 1846+00.5|1RXS J184854.7+003501|2E 1846.3+0031|SSTGLMC G033.1638+00.8287|TYC  448-423-1|PBC J1848.7+0039|SWIFT J1848.4+0040|Gaia DR1 4266547566124966912|WEB 15932|Gaia DR2 4266547566124966912,1918-06-08,*|CV*|Em*|HS?|MIR|NIR|No*|SB*|UV|V*|X|blu,True,False,,,False
V1017 Sgr,V1017 Sgr,V1017 Sgr,TIC 226703160|UCAC4 304-232890|Gaia DR3 4048251562703375488|2E  4084|AAVSO 1825-29|NOVA Sgr 1919|SV* HV  3519|V1017 Sgr|2E 1828.9-2925|2MASS J18320447-2923125|Gaia DR2 4048251562703375488,1919-03-11,*|CV*|NIR|No*|V*|X,True,False,,,False
V605 Aql,PN A66   58,V605 Aql,C* 2719|AAVSO 1913+01|AN    7.1920|CGCS 4225|GSC2 N020103213277|IRAS 19158+0141|Lund    21|NOVA Aql 1919|PK 037-05  1|PN A55   45|PN G037.5-05.1|PN A66   58|PN ARO  150|PN VV'  489|SCM 239|V605 Aql|NAME Nova Aquilae No 4,1919-07-04,*|C*|Cl*|IR|No*|PN|V*,True,False,,,False
V849 Oph,V849 Oph,V849 Oph,ZTF J181407.30+113642.1|Gaia DR2 4484747641520751872|PLX 4184|AAVSO 1809+11|CSI+11-18117|HD 167276|NOVA Oph 1919|SV* HV  3520|V849 Oph|PLX 4184.00,1919-08-20,*|CV*|EB*|No*|V*,True,False,,,False
HR Lyr,HR Lyr,HR Lyr,TIC 358601798|ATO J283.3543+29.2271|Gaia DR3 2040551920255615104|PLX 4372|AAVSO 1849+29|AN    1.1920|CSI+29-18514|EM* CDS 1033|HD 175268|NOVA Lyr 1919|SV* HV  3521|HR Lyr|2MASS J18532505+2913377|PLX 4372.00|Gaia DR2 2040551920255615104,1919-12-06,*|Em*|NIR|No*|Opt|V*,True,False,,,False
V476 Cyg,V476 Cyg,V476 Cyg,Gaia DR2 2089624258071404544|Gaia DR3 2089624258071404544|PLX 4739|AAVSO 1955+53B|AN   26.1920|CSI+53-19572|EM* CDS 1113|GCRV 12334|NOVA Cyg 1920|V476 Cyg|PLX 4739.00|PSO J299.6020+53.6185|TIC 1882220505,1920-08-20,*|Em*|No*|Opt|V*,True,False,,,False
FL Sgr,FL Sgr,FL Sgr,AAVSO 1753-34B|NOVA Sgr 1924|SV* HV  4003|FL Sgr,1924-05-13,No*|V*,True,False,,,False
RR Pic,RR Pic,RR Pic,TIC 293271581|UCAC4 137-008110|WISE J063536.06-623824.3|GALEX J063536.4-623823|WISEA J063536.07-623824.3|HIP 31481|Gaia DR3 5477422099543150592|2MASS J06353606-6238242|PLX 1557|2E  1715|AAVSO 0634-62|CSI-62-06352|HIC  31481|Hen 3-15|NOVA Pic 1925|RR Pic|[TDQ2000] SRX  5|PLX 1557.00|1RXS J063536.4-623824|2E 0635.1-6235|TYC 8899-1342-1|ASAS J063536-6238.3|Gaia DR1 5477422095246244224|Gaia DR2 5477422099543150592,1925-05-25,*|CV*|Em*|HS?|MIR|NIR|No*|UV|V*|X|blu,True,False,,,False
DO Aql,DO Aql,DO Aql,TIC 100562828|Gaia DR2 4208116120905286528|WISE J193125.91-062538.8|SDSS J193125.89-062538.6|WISEA J193125.90-062539.0|AAVSO 1926-06|AN    9.1925|NOVA Aql 1925|DO Aql|2MASS J19312591-0625382,1925-09-14,*|EB*|MIR|NIR|No*|Opt|V*,True,False,,,False
KY Sgr,KY Sgr,KY Sgr,TIC 196008675|AP J18012101-2624400|Gaia DR3 4064004158352971520|AAVSO 1755-26|NOVA Sgr 1926 a|SV* HV  4480|KY Sgr|2MASS J18012101-2624400,1926-06-14,*|NIR|No*|V*,True,False,,,False
FM Sgr,FM Sgr,FM Sgr,AAVSO 1811-23|NOVA Sgr 1926|SV* HV  3994|FM Sgr,1926-07-16,No*|V*,True,False,,,False
EL Aql,EL Aql,EL Aql,TIC 57427978|Gaia DR3 4255780873390406528|AAVSO 1850-03|AN   60.1927|NOVA Aql 1927|EL Aql|2MASS J18560202-0319205|USNO-B1.0 0866-00433092|Gaia DR2 4255780873390406528,1927-07-30,*|NIR|No*|V*,True,False,,,False
V363 Sgr,V363 Sgr,V363 Sgr,NOVA Sgr 1927|V363 Sgr,1927-09-30,No*|V*,True,False,,,False
XX Tau,XX Tau,XX Tau,Gaia DR2 3394342581362155520|SDSS J051924.46+164300.3|Gaia DR3 3394342581362155520|AAVSO 0513+16|AN  100.1927|NOVA Tau 1927|XX Tau,1927-11-18,*|CV*|No*|Opt|V*,True,False,,,False
KP Sco,KP Sco,KP Sco,AAVSO 1737-35|NOVA Sco 1928|SV* HV  4716|KP Sco,1928-06-21,No*|V*,True,False,,,False
V1583 Sgr,V1583 Sgr,V1583 Sgr,NOVA Sgr 1928|SV* HV 12320|V1583 Sgr,1928-07-24,No*|V*,True,False,,,False
HV Vir,HV Vir,HV Vir,Gaia DR3 3688359000015020800|AAVSO 1315+02|NOVA Vir 1929|NSV  6201|HV Vir|[DDM2009] CSS080227 J132103+015329|CRTS CSS080227 J132103+015329|2QZ J132103.1+015329|SDSS J132103.16+015329.1|CRTS J132103.2+015329|Gaia DR2 3688359000015020800|1eRASS J132102.4+015338,1929-02-01,*|CV*|CV?|No*|Opt|V*|WD*|WD?|X,True,False,,,False
V359 Cen,V359 Cen,V359 Cen,Gaia DR3 5380310174561335296|GSC2 S12200122477|NOVA Cen 1939|NOVA Cen 1930|USNO-A2.0 0450-13664185|V359 Cen|Gaia DR2 5380310174561335296,1930-04-20,*|CV*|No*|V*|WD*,True,False,,,False
V441 Sgr,V441 Sgr,V441 Sgr,AAVSO 1815-25A|CSI-25-18190|HD 315574|NOVA Sgr 1930|SV* HV  5486|V441 Sgr,1930-09-12,*|No*|V*,True,False,,,False
MT Cen,MT Cen,MT Cen,TIC 322239323|Gaia DR3 5335446762957428992|NOVA Cen 1931|MT Cen|2MASS J11440080-6033395|Gaia DR2 5335446762957428992,1931-05-09,*|NIR|No*|V*,True,False,,,False
V1905 Sgr,V1905 Sgr,V1905 Sgr,AAVSO 1827-25|NOVA Sgr 1932|V1905 Sgr,1932-06-14,No*|V*,True,False,,,False
CG CMa,CG CMa,CG CMa,TIC 80923771|Gaia DR3 2927639069777486464|2MASS J07040505-2345345|AAVSO 0659-23|NOVA CMa 1934|CG CMa|Gaia DR2 2927639069777486464|USNO-A2.0 0600-04772139,1934-01-12,*|CV*|NIR|No*|V*,True,False,,,False
BD Pav,BD Pav,BD Pav,TIC 120342455|Gaia DR3 6637401025693171200|AAVSO 1834-57|NOVA Pav 1934|SV* HV 10031|BD Pav|2MASS J18431191-5730448|Gaia DR2 6637401025693171200|1eRASS J184311.3-573046,1934-09-07,*|CV*|NIR|No*|V*|X,True,False,,,False
DQ Her,DQ Her,DQ Her,TIC 332624864|UCAC4 680-061811|WISE J180730.26+455132.6|WISEA J180730.25+455132.5|Gaia DR3 2116226254706461568|PLX 4164|SBC9 1029|2MASS J18073024+4551325|2RXP J180730.0+455136|AAVSO 1804+45|AN  452.1934|CSI+45-18061|EM* CDS  959|GCRV 10587|NOVA Her 1934|SBC7   665|DQ Her|1SWASP J180730.28+455131.9|WEB 15046|Gaia DR2 2116226254706461568,1934-12-12,*|CV*|EB*|Em*|MIR|NIR|No*|SB*|UV|V*|X,True,False,,,False
V726 Sgr,V726 Sgr,V726 Sgr,Gaia DR2 4052387577689335552|AN  118.1938|HD 315532|NOVA Sgr 1936 b|SV* HV  9380|V726 Sgr,1936-04-30,*|CV*|No*|V*,True,False,,,False
V732 Sgr,V732 Sgr,V732 Sgr,TIC 134567220|Gaia DR3 4063588238075660160|AN  225.1937|CSI-27-17530|HD 316633|NOVA Sgr 1936|NOVA Sgr 1936 a|V732 Sgr|2MASS J17560751-2722161|SSTGLMC G002.5297-01.1882|Gaia DR2 4063588238075660160,1936-06-10,*|CV*|MIR|NIR|No*|V*,True,False,,,False
CP Lac,CP Lac,CP Lac,TIC 330615123|Gaia DR3 2006109065688505472|AAVSO 2212+55|AN  605.1936|CSI+55-22138|EM* CDS 1317|GCRV 14005|NOVA Lac 1935|NOVA Lac 1936|CP Lac|2MASS J22154108+5537014|WEB 19732|Gaia DR2 2006109065688505472,1936-06-18,*|CV*|Em*|HS?|NIR|No*|V*|blu,True,False,,,False
V356 Aql,V356 Aql,V356 Aql,Gaia DR2 4264846415484216576|UGPS J191713.68+014321.9|AAVSO 1912+01|AN  618.1936|CSI+01-19147|GCRV 69244|NOVA Aql 1936|V356 Aql,1936-09-18,*|NIR|No*|V*,True,False,,,False
V990 Sgr,V990 Sgr,V990 Sgr,TIC 136018807|AAVSO 1751-28|NOVA Sgr 1936 d|V990 Sgr|2MASS J17571823-2819079,1936-09-21,NIR|No*|V*,True,False,,,False
V630 Sgr,V630 Sgr,V630 Sgr,Gaia DR2 4039478078339544064|AAVSO 1802-34|AN  619.1936|CSI-34-18055|GCRV 67767|HD 321353|NOVA Sgr 1936 c|V630 Sgr|[SC95] M 320|[SC96] Mis 1029,1936-10-03,*|CV*|No*|UV|V*,True,False,,,False
V368 Aql,V368 Aql,V368 Aql,TIC 374963778|UCAC4 489-101766|WISE J192634.45+073613.4|WISEA J192634.45+073613.2|ZTF J192634.45+073613.8|Gaia DR3 4295580518601261696|AAVSO 1921+07|AN  668.1936|CSI+07-19241|GCRV 69428|NOVA Aql 1936 b|V368 Aql|2MASS J19263446+0736137|Gaia DR2 4295580518601261696,1936-10-07,*|CV*|EB*|LP*|MIR|NIR|No*|V*,True,False,,,False
V745 Sco,V745 Sco,V745 Sco,UCAC4 284-135625|2MASS J17552222-3314585|WISE J175522.22-331458.5|WISEA J175522.22-331458.6|Gaia DR3 4043221606260719360|AAVSO 1748-33B|NOVA Sco 1937|V745 Sco|OGLE BLG-LPV-120729|Gaia DR2 4043221606260719360|TIC 258891666,1937-05-10,*|LP*|MIR|NIR|No*|Sy*,True,False,,,False
V745 Sco,V745 Sco,V745 Sco,UCAC4 284-135625|2MASS J17552222-3314585|WISE J175522.22-331458.5|WISEA J175522.22-331458.6|Gaia DR3 4043221606260719360|AAVSO 1748-33B|NOVA Sco 1937|V745 Sco|OGLE BLG-LPV-120729|Gaia DR2 4043221606260719360|TIC 258891666,1937-05-10,*|LP*|MIR|NIR|No*|Sy*,True,False,,,False
V787 Sgr,V787 Sgr,V787 Sgr,AAVSO 1753-30|HD 316917|NOVA Sgr 1937|SV* HV 10322|V787 Sgr,1937-05-20,*|No*|V*,True,False,,,False
V733 Sco,V733 Sco,V733 Sco,TIC 107043035|Gaia DR3 4041215444248801920|WISEA J173939.18-355123.8|OGLE BLG610.21  40000|OGLE BLG-LPV-245889|AAVSO 1733-35|NOVA Sco 1937 a|V733 Sco|2MASS J17393919-3551241|WISE J173939.19-355123.9,1937-06-29,*|LP*|MIR|Mi*|Mi?|NIR|No*|V*,True,False,,,False
V404 Cyg,V404 Cyg,V404 Cyg,TIC 136874944|Gaia DR2 2056188624872569088|AAVSO 2020+33|AN  100.1938|Ginga 2023+338|Ginga 2023+33|INTREF  1021|NOVA Cyg 1938|NOVA Cyg 1989|V404 Cyg|2MASS J20240382+3352021|1RXS J202405.3+335157|1SXPS J202404.2+335155|Gaia DR3 2056188624872569088|4XMM J202403.8+335202|2SXPS J202404.0+335151,1938-09-28,*|CV*|HXB|NIR|No*|V*|X|gam,True,False,,,False
FU Ori,FU Ori,FU Ori,TIC 156194593|WISEA J054522.36+090412.2|Gaia DR3 3336092864798790144|TYC  715-159-1|2MASS J05452235+0904123|AAVSO 0539+09|AN    1.1939|BD+09  5427|CSI+09-05427|EM* CDS  535|GCRV 56621|GSC 00715-00159|HBC 186|IRAS 05426+0903|JP11  5455|JP11  5456|JP11  5454|NOVA Ori 1939|PDS 122|PP  43|FU Ori|[LC2007] 28|PSCz P05426+0903|WDS J05454+0904AB|** WAH    1|2XMM J054522.3+090412|GN 05.42.6|Gaia DR1 3336092860503879168|WISE J054522.38+090412.1|Gaia DR2 3336092864798790144,1939-01-18,*|**|Em*|IR|ISM|MIR|NIR|No*|Or*|V*|X,True,False,,,False
V794 Oph,V794 Oph,V794 Oph,TIC 235024198|Gaia DR2 4116752545870087040|NOVA Oph 1983|NOVA Oph 1939|V794 Oph|2MASS J17384924-2250489,1939-07-15,*|NIR|No*|V*,True,False,,,False
