band,filter_id,facility,instrument,wavelength_eff,fwhm,mean_overlap,min_overlap,median_overlap,n_low_pairs,is_outlier
R,FLWO/KeplerCam.R_Harris_old,FLWO,KeplerCam,6328.5,1338.5,0.9625,0.6453,0.9841,0,False
R,TNG/DOLORES.R,TNG,DOLORES,6441.2,1510.0,0.9627,0.6180,0.9878,0,False
R,TNG/TNG.TNG12,TNG,,6442.1,1509.9,0.9627,0.6177,0.9875,0,False
R,LCO/IMACS.Bessell_R1,LCO,IMACS,6436.8,1539.7,0.9629,0.6166,0.9878,0,False
R,LCO/IMACS.Bessell_R2,LCO,IMACS,6440.2,1551.1,0.9629,0.6170,0.9881,0,False
R,CTIO/MosaicII.R,CTIO,MosaicII,6497.1,1649.9,0.9630,0.6210,0.9880,0,False
R,CAHA/Astralux.R_noatm,CAHA,Astralux,6420.9,1695.1,0.9639,0.6155,0.9907,0,False
R,Keck/LRIS.R,Keck,LRIS,6303.9,1185.4,0.9639,0.6558,0.9843,0,False
R,CAHA/PlanetCam2.VIS_R_filter,CAHA,PlanetCam2,6353.6,1395.0,0.9640,0.6460,0.9852,0,False
R,LBT/LBCR.bessel-R,LBT,LBC,6344.8,1187.1,0.9641,0.6699,0.9832,0,False
R,HCT/HFOSC.Bessell_R,HCT,HFOSC,6484.2,1582.9,0.9641,0.6339,0.9882,0,False
R,CAHA/Astralux.R,CAHA,Astralux,6427.8,1716.6,0.9643,0.6195,0.9910,0,False
R,P200/LFC.R,Palomar,LFC,6352.5,1435.7,0.9645,0.6448,0.9872,0,False
R,NOT/ALFOSC.Bes_R,NOT,ALFOSC,6329.6,1230.8,0.9645,0.6533,0.9859,0,False
R,LCO/CCD3x3.LC-3015,LCO,,6421.3,1468.3,0.9647,0.6223,0.9907,0,False
R,P200/LFC.R_filter,Palomar,LFC,6363.3,1452.5,0.9648,0.6354,0.9899,0,False
R,LCO/CCD3x3.LC-3010,LCO,,6420.4,1464.2,0.9648,0.6228,0.9908,0,False
R,IAC80/TCP.R,IAC80,TCP,6330.1,1222.8,0.9649,0.6594,0.9850,0,False
R,LCO/WFCCD.R,LCO,WFCCD,6392.2,1304.0,0.9651,0.6614,0.9861,0,False
R,LasCumbres/LasCumbres.Bessel_R,LasCumbres,,6311.4,1298.3,0.9651,0.6405,0.9895,0,False
R,OHP/Cam120.R_fil,OHP,Cam120,6457.5,1668.0,0.9651,0.6208,0.9916,0,False
R,STELLA/WiFSIP.Bessel_R,STELLA,WiFSIP,6312.3,1245.1,0.9654,0.6473,0.9874,0,False
R,McD/DIAFI.R,McDonalds,DIAFI,6351.7,1244.9,0.9663,0.6581,0.9881,0,False
R,OHP/Cam120.R,OHP,Cam120,6443.1,1642.9,0.9665,0.6276,0.9931,0,False
I,CTIO/MosaicII.V_old,CTIO,MosaicII,5440.9,946.2,0.0014,0.0000,0.0000,65,True
I,Keck/LRIS.I,Keck,LRIS,7549.1,1225.1,0.6207,0.0003,0.6133,10,True
I,Paranal/SPHERE.ZIMPOL_N_I,Paranal,SPHERE,8160.4,786.6,0.6768,0.0000,0.6692,1,False
I,CAHA/PlanetCam2.VIS_I,CAHA,PlanetCam2,7739.6,1289.7,0.7036,0.0000,0.6901,6,False
I,CAHA/PlanetCam2.VIS_I_filter,CAHA,PlanetCam2,7799.9,1260.5,0.7106,0.0000,0.6931,6,False
I,McD/DIAFI.I,McDonalds,DIAFI,7469.5,3020.3,0.7582,0.0725,0.7780,1,False
I,CAHA/CAHA.850_150c,CAHA,,8889.6,2462.3,0.7686,0.0000,0.8440,4,False
I,CAHA/Astralux.I_filter,CAHA,Astralux,8946.2,2420.1,0.7694,0.0000,0.8450,4,False
I,CAHA/LAICA.Johnson_I,CAHA,LAICA,8799.2,2178.6,0.7731,0.0000,0.8470,4,False
I,CAHA/CAHA.850_150aa,CAHA,,8864.5,2509.6,0.7764,0.0000,0.8532,4,False
I,CAHA/CAHA.850_150b,CAHA,,8851.5,2520.5,0.7787,0.0000,0.8566,4,False
I,Paranal/FORS1.ESO1037,Paranal,FORS1,7865.5,1444.3,0.7876,0.0000,0.7699,1,False
I,UKIRT/UFTI.I,UKIRT,UFTI,8466.0,1382.3,0.8003,0.0000,0.8072,2,False
I,CTIO/MosaicII.I,CTIO,MosaicII,7960.6,1438.1,0.8013,0.0000,0.7826,1,False
I,LBT/LBCR.bessel-I,LBT,LBC,7881.9,1671.8,0.8028,0.0000,0.7936,1,False
I,LCO/OGLE-IV.I,LCO,OGLE,7931.8,1485.7,0.8055,0.0009,0.7895,1,False
I,LCO/OGLE-IV.I_filter,LCO,OGLE,7968.7,1488.0,0.8099,0.0003,0.7946,1,False
I,FLWO/KeplerCam.I_Harris,FLWO,KeplerCam,8000.6,1637.3,0.8117,0.0000,0.8015,1,False
I,CFHT/MOCAM.I,CFHT,MOCAM,7972.2,1627.7,0.8121,0.0000,0.7986,1,False
I,CAHA/BUSCA.I,CAHA,BUSCA,7966.9,1331.7,0.8136,0.0000,0.7977,1,False
I,Paranal/FORS2.ESO1077,Paranal,FORS2,7901.7,1510.7,0.8159,0.0000,0.8069,1,False
I,ING/ING.234,ING,,8013.0,1768.5,0.8189,0.0000,0.7860,1,False
I,LaSilla/SUSI2.I,La Silla,SUSI2,7883.8,1478.3,0.8210,0.0000,0.8177,1,False
I,Subaru/FOCAS.I,Subaru,FOCAS,7997.2,1500.5,0.8232,0.0000,0.8130,1,False
I,LICK/LICK.I,LICK,,8802.8,3449.3,0.8253,0.0017,0.8761,1,False
I,CTIO/MosaicII.I_old,CTIO,MosaicII,8081.6,1584.7,0.8261,0.0000,0.8141,1,False
I,CAHA/Astralux.I_noatm,CAHA,Astralux,8624.3,1736.6,0.8313,0.0000,0.8904,2,False
I,CAHA/Astralux.I,CAHA,Astralux,8603.7,1507.2,0.8330,0.0000,0.8873,2,False
I,OHP/Cam120.I,OHP,Cam120,7952.4,1418.5,0.8338,0.0000,0.8221,1,False
I,LCO/CCD3x3.LC-3011,LCO,,8625.5,3306.4,0.8341,0.0027,0.8749,1,False
I,OAF/Bessell.I,OAF,,8607.8,3370.1,0.8381,0.0002,0.8848,1,False
I,CTIO/Y4KCam.Ic,CTIO,Y4KCam,7977.4,1763.9,0.8388,0.0000,0.8177,1,False
I,CAHA/MUNICS.I,CAHA,MUNICS,8599.9,1875.8,0.8407,0.0000,0.8980,2,False
I,OSN/Johnson.Cousins_I1,OSN,,8716.5,3275.3,0.8435,0.0000,0.8908,1,False
I,FLWO/KeplerCam.I_Harris_old,FLWO,KeplerCam,8703.7,3321.4,0.8438,0.0000,0.8892,1,False
I,LasCumbres/LasCumbres.Bessel_I,LasCumbres,,8590.9,3155.3,0.8444,0.0000,0.8901,1,False
I,OHP/Cam120.I_fil,OHP,Cam120,8003.9,1439.5,0.8448,0.0000,0.8308,1,False
I,CFHT/CFH12k.I,CFHT,CFH12k,8091.0,2163.8,0.8449,0.0000,0.8580,1,False
I,IAC80/TCP.I,IAC80,TCP,8577.5,3126.1,0.8451,0.0000,0.8874,1,False
I,OSN/Circ.Cousins_I,OSN,,8585.7,3109.9,0.8459,0.0000,0.8923,1,False
I,OSN/Johnson.Cousins_I5,OSN,,8693.2,3290.1,0.8460,0.0000,0.8925,1,False
I,STELLA/WiFSIP.Bessel_I,STELLA,WiFSIP,8577.0,3183.7,0.8464,0.0000,0.8967,1,False
I,Paranal/VIMOS.I,Paranal,VIMOS,8028.0,1736.6,0.8472,0.0000,0.8333,1,False
I,OSN/Johnson.Cousins_I2,OSN,,8691.1,3251.4,0.8473,0.0000,0.8945,1,False
I,OSN/Johnson.Cousins_I3,OSN,,8690.7,3251.4,0.8474,0.0000,0.8946,1,False
I,CFHT/CFHT.I,CFHT,,8090.9,2163.8,0.8476,0.0045,0.8613,1,False
I,Gemini/AcqCam-S.I,Gemini,AcqCam-S,8573.0,3105.3,0.8477,0.0001,0.8935,1,False
I,OSN/Johnson.Cousins_I4,OSN,,8688.5,3239.5,0.8480,0.0000,0.8954,1,False
I,LCO/MagIC.I,LCO,MagIC,8158.7,2007.1,0.8492,0.0002,0.8630,1,False
I,KPNO/Mosaic.I,KPNO,Mosaic,8101.6,1920.9,0.8526,0.0000,0.8517,1,False
I,Misc/AndromedA.Icb,AndromedA,,8444.6,2818.5,0.8526,0.0002,0.9130,1,False
I,P200/LFC.I_filter,Palomar,LFC,8642.2,3194.2,0.8538,0.0000,0.9004,1,False
I,BOK/90prime.I,BOK,90prime,8524.3,3055.9,0.8555,0.0000,0.9008,1,False
I,CTIO/SOI.bessel_I,CTIO,SOI,8533.6,2940.6,0.8567,0.0001,0.9038,1,False
I,NOT/ALFOSC.Bes_I,NOT,ALFOSC,8466.1,2955.8,0.8598,0.0029,0.9369,1,False
I,IAC80/CAMELOT.I,IAC80,CAMELOT,8490.4,2983.5,0.8601,0.0000,0.9039,1,False
I,TNG/DOLORES.I,TNG,DOLORES,8362.0,2784.0,0.8632,0.0000,0.8977,1,False
I,TNG/TNG.TNG13,TNG,,8362.0,2784.0,0.8632,0.0000,0.8977,1,False
I,Misc/MCPS.I,LCO,,8568.9,2205.5,0.8641,0.0000,0.9268,1,False
I,LCO/WFCCD.I,LCO,WFCCD,8438.0,2703.1,0.8673,0.0000,0.9015,1,False
I,Misc/AndromedA.I,AndromedA,,8218.5,2603.8,0.8716,0.0012,0.8929,1,False
I,SAO/SCORPIO.I,SAO,SCORPIO,8133.9,1762.8,0.8863,0.0000,0.8972,1,False
I,P200/LFC.I,Palomar,LFC,8155.4,1981.5,0.8922,0.0000,0.9111,1,False
I,TJO/MEIA.Ic,TJO,MEIA,8080.4,1619.3,0.8923,0.0000,0.9109,1,False
I,Scorpio/Cousins.Ic,Scorpio,,8142.9,1762.8,0.8926,0.0000,0.9103,1,False
I,HCT/HFOSC.Bessell_I,HCT,HFOSC,8215.5,2078.3,0.8956,0.0000,0.9257,1,False
J,IRSF/Sirius.Ks,IRSF,Sirius,21324.3,3211.6,0.0000,0.0000,0.0000,60,True
J,CAHA/PlanetCam2.SWIR_J_filter,CAHA,PlanetCam2,12729.3,523.6,0.5831,0.0000,0.6072,9,True
J,Euclid/NISP.J,Euclid,NISP,13422.6,3980.5,0.6608,0.0000,0.6608,2,False
J,Euclid/NISP0.J,Euclid,NISP,13405.0,3727.2,0.6639,0.0000,0.6638,2,False
J,CTIO/OSIRIS.J,CTIO,OSIRIS,12581.8,2959.3,0.8102,0.0000,0.8107,2,False
J,TNG/NICS.J,TNG,NICS,12564.5,2965.6,0.8105,0.0000,0.8115,2,False
J,KPNO/TIFKAM.J,KPNO,TIFKAM,12508.3,3063.7,0.8230,0.0000,0.8256,2,False
J,CFHT/QUIRC.J,CFHT,QUIRC,12396.7,2942.9,0.8294,0.0000,0.8316,2,False
J,TCS/CAIN3.J,TCS,CAIN-3,12514.1,2714.3,0.8298,0.0000,0.8350,2,False
J,LaSilla/SOFI.J,La Silla,SOFI,12334.8,2887.0,0.8391,0.0000,0.8435,2,False
J,CAHA/ALHAMBRA.J,CAHA,Omega2000,11948.0,2471.0,0.8416,0.0000,0.8492,1,False
J,CAHA/Omega2000.J,CAHA,Omega2000,11948.0,2471.0,0.8416,0.0000,0.8492,1,False
J,Liverpool/SupIRCam.J,LT,SupIRCam,12350.6,2655.0,0.8569,0.0000,0.8661,1,False
J,SOFIA/FLITECAM.J,SOFIA,FLITECAM,12292.7,2640.0,0.8593,0.0000,0.8691,1,False
J,Paranal/NACO.J,Paranal,NACO,12476.2,2489.7,0.8608,0.0000,0.8684,1,False
J,Paranal/SPHERE.IRDIS_B_J,Paranal,SPHERE,12304.9,2434.0,0.8836,0.0000,0.9007,1,False
J,LaSilla/GROND.J,La Silla,GROND,12245.7,2365.6,0.8861,0.0000,0.9023,1,False
J,CAHA/MUNICS.J,CAHA,MUNICS,12247.3,2003.2,0.8898,0.0000,0.9107,1,False
J,LCO/FourStar.J,LCO,FourStar,12287.3,2282.9,0.8924,0.0000,0.9017,1,False
J,Gemini/GPI.J,Gemini,GPI,12216.2,2273.2,0.8934,0.0000,0.9029,1,False
J,CAHA/PlanetCam2.SWIR_J,CAHA,PlanetCam2,12446.7,1654.5,0.8946,0.0000,0.9349,1,False
J,Paranal/HAWKI.J,Paranal,HAWK-I,12522.0,1541.4,0.8989,0.0000,0.9397,1,False
J,CAHA/PANIC.J,CAHA,PANIC,12422.2,1562.1,0.9011,0.0000,0.9506,1,False
J,KPNO/Flamingos.J,KPNO,Flamingos,12407.6,1563.5,0.9016,0.0000,0.9469,1,False
J,Gemini/Flamingos2.J,Gemini,Flamingos2,12504.1,1584.1,0.9025,0.0000,0.9423,1,False
J,CTIO/ANDICAM.J,CTIO,ANDICAM,12399.8,1608.9,0.9031,0.0000,0.9533,1,False
J,2MASS/2MASS.J,2MASS,,12350.0,1830.2,0.9044,0.0000,0.9222,1,False
J,CFHT/Wircam.J,CFHT,WFC,12481.1,1587.5,0.9046,0.0000,0.9456,1,False
J,NOT/NOTcam.J,NOT,NOTcam,12390.3,1625.6,0.9048,0.0000,0.9571,1,False
J,Subaru/MOIRCS.J,Subaru,MOIRCS,12466.1,1636.2,0.9050,0.0000,0.9471,1,False
J,WHT/INGRID.J,WHT,INGRID,12483.0,1622.4,0.9050,0.0000,0.9473,1,False
J,IRSF/Sirius.J,IRSF,Sirius,12409.1,1619.5,0.9057,0.0000,0.9580,1,False
J,NIRT/NSFCAM.J,NIRT,NSFCAM,12416.8,1616.8,0.9064,0.0000,0.9544,1,False
J,Subaru/IRCS.J,Subaru,IRCS,12416.8,1616.8,0.9064,0.0000,0.9544,1,False
J,Gemini/GSAOI.J,Gemini,GSAOI,12402.4,1584.5,0.9066,0.0000,0.9546,1,False
J,Keck/NIRC2.J,Keck,NIRC2,12434.1,1627.2,0.9073,0.0000,0.9557,1,False
J,CTIO/Spartan.J,CTIO,Spartan,12272.8,1856.3,0.9081,0.0000,0.9587,1,False
J,UKIRT/UFTI.J,UKIRT,UFTI,12418.6,1634.8,0.9082,0.0000,0.9604,1,False
J,Subaru/CIAO.J,Subaru,CIAO,12417.0,1616.8,0.9086,0.0000,0.9563,1,False
J,Subaru/OHS.J,Subaru,OHS,12417.0,1616.8,0.9086,0.0000,0.9563,1,False
J,MKO/NSFCam.J,MKO,NSFCam,12417.0,1616.8,0.9086,0.0000,0.9563,1,False
J,MMT/SWIRC.J,MMT,SWIRC,12452.2,1540.5,0.9090,0.0000,0.9543,1,False
J,UKIRT/UKIDSS.J,UKIRT,WFCAM,12483.0,1581.9,0.9100,0.0000,0.9582,1,False
J,UKIRT/WFCAM.J,UKIRT,WFCAM,12483.0,1581.9,0.9100,0.0000,0.9582,1,False
J,LCO/CSP.WIRC_J,LCO,WIRC,12368.2,2108.8,0.9123,0.0000,0.9376,1,False
J,LCO/WIRC.J,LCO,WIRC,12368.2,2108.8,0.9123,0.0000,0.9376,1,False
J,MMT/MMIRS.J,MMT,MMIRS,12452.7,1583.7,0.9131,0.0000,0.9589,1,False
J,LCO/MMIRS.J,LCO,MMIRS,12452.7,1583.7,0.9137,0.0000,0.9589,1,False
J,LCO/CSP.J,LCO,RetroCam,12372.4,2041.8,0.9143,0.0000,0.9379,1,False
J,LCO/RetroCam.J,LCO,RetroCam,12372.4,2041.8,0.9143,0.0000,0.9379,1,False
J,GTC/EMIR.J,GTC,EMIR,12475.3,1597.1,0.9146,0.0000,0.9615,1,False
J,LCO/RetroCam.J_CSP2,LCO,RetroCam,12380.8,1909.4,0.9157,0.0000,0.9397,1,False
J,LCO/WIRC.J_CSP2,LCO,WIRC,12380.8,1909.4,0.9157,0.0000,0.9397,1,False
J,LCO/CSP2.J,LCO,RetroCam,12380.8,1909.4,0.9157,0.0000,0.9397,1,False
J,LCO/CSP.J_old,LCO,RetroCam,12443.0,1947.5,0.9157,0.0000,0.9475,1,False
J,LCO/RetroCam.J_old,LCO,RetroCam,12443.0,1947.5,0.9157,0.0000,0.9475,1,False
J,Liverpool/IOI.J_ori,LT,IO:I,12512.2,1575.9,0.9172,0.0000,0.9590,1,False
J,Paranal/VISTA.J,Paranal,VIRCAM,12481.0,1713.4,0.9180,0.0000,0.9746,1,False
J,WHT/LRIS.J,WHT,LRIS,12447.1,1561.5,0.9186,0.0000,0.9588,1,False
J,Paranal/VISTA.J_filter,Paranal,VIRCAM,12485.2,1718.7,0.9194,0.0000,0.9745,1,False
J,Liverpool/IOI.J,LT,IO:I,12485.4,1580.9,0.9197,0.0000,0.9610,1,False
H,GTC/CIRCE.J,GTC,CIRCE,12433.3,1621.5,0.0002,0.0000,0.0000,61,True
H,GTC/CIRCE.Ks,GTC,CIRCE,21340.0,3084.8,0.0038,0.0000,0.0000,61,True
H,Euclid/NISP.H,Euclid,NISP,17410.6,4985.5,0.7021,0.0000,0.7067,2,False
H,Euclid/NISP0.H,Euclid,NISP,17364.9,4816.4,0.7103,0.0000,0.7155,2,False
H,CAHA/PlanetCam2.SWIR_H,CAHA,PlanetCam2,15766.5,2072.4,0.8498,0.0000,0.9036,2,False
H,Liverpool/SupIRCam.H,LT,SupIRCam,16572.0,2975.4,0.9020,0.0000,0.9298,2,False
H,TCS/CAIN3.H,TCS,CAIN-3,16538.0,3119.2,0.9031,0.0000,0.9313,2,False
H,Paranal/NACO.H,Paranal,NACO,16364.3,3443.7,0.9079,0.0000,0.9442,2,False
H,CFHT/QUIRC.H,CFHT,QUIRC,16497.1,3021.8,0.9143,0.0000,0.9449,2,False
H,LCO/FourStar.H,LCO,FourStar,16039.5,2831.8,0.9259,0.0000,0.9748,2,False
H,CAHA/Omega2000.H,CAHA,Omega2000,16357.0,2664.7,0.9262,0.0000,0.9646,2,False
H,CAHA/ALHAMBRA.H,CAHA,Omega2000,16356.9,2664.7,0.9274,0.0000,0.9661,2,False
H,Paranal/HAWKI.H,Paranal,HAWK-I,16051.7,2901.0,0.9340,0.0000,0.9828,2,False
H,Paranal/ISAAC.H,Paranal,ISAAC,16365.3,2960.1,0.9344,0.0000,0.9731,2,False
H,LaSilla/SOFI.H,La Silla,SOFI,16365.3,2960.0,0.9344,0.0000,0.9731,2,False
H,2MASS/2MASS.H,2MASS,,16620.0,2580.0,0.9360,0.0000,0.9754,2,False
H,Gemini/GPI.H,Gemini,GPI,16321.9,2984.8,0.9370,0.0000,0.9806,2,False
H,LCO/CSP.WIRC_H,LCO,WIRC,16158.6,2825.4,0.9371,0.0000,0.9886,2,False
H,LCO/WIRC.H,LCO,WIRC,16158.6,2825.4,0.9371,0.0000,0.9886,2,False
H,LCO/CSP.H,LCO,RetroCam,16172.8,2843.0,0.9381,0.0000,0.9896,2,False
H,LCO/RetroCam.H,LCO,RetroCam,16172.8,2843.0,0.9381,0.0000,0.9896,2,False
H,LaSilla/GROND.H,La Silla,GROND,16329.5,2701.5,0.9381,0.0000,0.9758,2,False
H,LCO/CSP2.H,LCO,RetroCam,16136.7,2851.8,0.9384,0.0000,0.9902,2,False
H,LCO/RetroCam.H_CSP2,LCO,RetroCam,16136.7,2851.8,0.9384,0.0000,0.9902,2,False
H,LCO/WIRC.H_CSP2,LCO,WIRC,16136.7,2851.8,0.9384,0.0000,0.9902,2,False
H,WHT/LRIS.H,WHT,LRIS,16093.1,2949.7,0.9387,0.0000,0.9872,2,False
H,KPNO/TIFKAM.H,KPNO,TIFKAM,16314.4,3069.0,0.9387,0.0000,0.9805,2,False
H,MMT/SWIRC.H,MMT,SWIRC,16338.3,2970.7,0.9390,0.0000,0.9835,2,False
H,CAHA/PlanetCam2.SWIR_H_filter,CAHA,PlanetCam2,16163.0,3013.1,0.9394,0.0000,0.9878,2,False
H,SOFIA/FLITECAM.H,SOFIA,FLITECAM,16217.8,2751.6,0.9414,0.0000,0.9878,2,False
H,Subaru/MOIRCS.H,Subaru,MOIRCS,16229.8,2811.3,0.9418,0.0000,0.9874,2,False
H,Paranal/SPHERE.IRDIS_B_H,Paranal,SPHERE,16098.1,2923.6,0.9420,0.0000,0.9911,2,False
H,Paranal/VISTA.H_filter,Paranal,VIRCAM,16354.3,2907.8,0.9423,0.0000,0.9839,2,False
H,Liverpool/IOI.H,LT,IO:I,16194.4,2961.3,0.9424,0.0038,0.9833,2,False
H,KPNO/Flamingos.H,KPNO,Flamingos,16220.6,2807.8,0.9427,0.0000,0.9882,2,False
H,WHT/INGRID.H,WHT,INGRID,16294.5,2857.9,0.9428,0.0000,0.9877,2,False
H,Paranal/VISTA.H,Paranal,VIRCAM,16347.7,2894.1,0.9429,0.0000,0.9858,2,False
H,CAHA/PANIC.H,CAHA,PANIC,16276.0,2825.9,0.9430,0.0000,0.9896,2,False
H,MMT/MMIRS.H,MMT,MMIRS,16292.9,2877.0,0.9431,0.0000,0.9877,2,False
H,LCO/MMIRS.H,LCO,MMIRS,16292.7,2877.0,0.9432,0.0000,0.9877,2,False
H,TNG/NICS.H,TNG,NICS,16128.3,2963.0,0.9432,0.0000,0.9921,2,False
H,Gemini/Flamingos2.H,Gemini,Flamingos2,16199.1,2895.6,0.9433,0.0000,0.9921,2,False
H,NOT/NOTcam.H,NOT,NOTcam,16130.9,2951.4,0.9435,0.0000,0.9919,2,False
H,Liverpool/IOI.H_ori,LT,IO:I,16270.8,2926.1,0.9436,0.0043,0.9861,2,False
H,CTIO/Spartan.H,CTIO,Spartan,16171.5,2861.3,0.9437,0.0000,0.9918,2,False
H,CTIO/OSIRIS.H,CTIO,OSIRIS,16162.7,2972.3,0.9438,0.0000,0.9899,2,False
H,Keck/NIRC2.H,Keck,NIRC2,16197.2,2940.5,0.9439,0.0000,0.9916,2,False
H,IRSF/Sirius.H,IRSF,Sirius,16183.5,2943.9,0.9440,0.0000,0.9924,2,False
H,GTC/CIRCE.H,GTC,CIRCE,16180.6,2952.0,0.9441,0.0000,0.9930,2,False
H,CFHT/Wircam.H,CFHT,Wircam,16157.5,2911.3,0.9441,0.0000,0.9940,2,False
H,Gemini/GSAOI.H,Gemini,GSAOI,16204.6,2855.8,0.9441,0.0000,0.9905,2,False
H,CTIO/ANDICAM.H,CTIO,ANDICAM,16152.8,2969.2,0.9442,0.0000,0.9907,2,False
H,Subaru/IRCS.H,Subaru,IRCS,16140.7,2956.9,0.9443,0.0000,0.9927,2,False
H,NIRT/NSFCAM.H,NIRT,NSFCAM,16140.7,2956.9,0.9443,0.0000,0.9927,2,False
H,GTC/EMIR.H,GTC,EMIR,16164.1,2810.2,0.9444,0.0000,0.9931,2,False
H,Subaru/CIAO.H,Subaru,CIAO,16140.3,2956.9,0.9446,0.0000,0.9927,2,False
H,MKO/NSFCam.H,MKO,NSFCam,16140.3,2956.9,0.9446,0.0000,0.9927,2,False
H,Subaru/OHS.H,Subaru,OHS,16140.3,2956.9,0.9446,0.0000,0.9927,2,False
H,UKIRT/UKIDSS.H,UKIRT,WFCAM,16313.0,2952.2,0.9449,0.0000,0.9899,2,False
H,UKIRT/WFCAM.H,UKIRT,WFCAM,16313.0,2952.2,0.9449,0.0000,0.9899,2,False
H,UKIRT/UFTI.H,UKIRT,UFTI,16205.4,2927.7,0.9454,0.0000,0.9922,2,False
H,MMT/Clio.H,MMT,Clio,16215.1,2989.6,0.9454,0.0000,0.9920,2,False
K,Gemini/Flamingos2.K-blue_filter,Gemini,Flamingos2,20485.1,2412.4,0.6269,0.1023,0.5997,2,True
K,Gemini/Flamingos2.K-red_filter,Gemini,Flamingos2,23062.9,2640.4,0.6639,0.1023,0.7014,3,False
K,SOFIA/FLITECAM.K,SOFIA,FLITECAM,20894.8,3529.8,0.8066,0.4039,0.7926,1,False
K,Gemini/Flamingos2.K-long_filter,Gemini,Flamingos2,21572.9,5812.2,0.8204,0.6998,0.8106,0,False
K,CTIO/ANDICAM.K,CTIO,ANDICAM,21298.5,2894.5,0.8588,0.4566,0.8689,1,False
K,Liverpool/SupIRCam.K,LT,SupIRCam,21175.1,3489.2,0.8856,0.5286,0.8886,0,False
K,CTIO/Spartan.K,CTIO,Spartan,21340.9,3054.7,0.8890,0.5066,0.9073,0,False
K,GTC/EMIR.K,GTC,EMIR,22195.5,3226.0,0.8992,0.4752,0.9426,1,False
K,TCS/CAIN3.K,TCS,CAIN-3,22082.1,3247.1,0.9120,0.5022,0.9484,0,False
K,WHT/INGRID.K,WHT,INGRID,22059.9,3235.0,0.9139,0.5093,0.9503,0,False
K,KPNO/TIFKAM.K,KPNO,TIFKAM,21881.9,4212.8,0.9166,0.6361,0.9311,0,False
K,CFHT/QUIRC.K,CFHT,QUIRC,21952.6,4070.4,0.9173,0.6165,0.9382,0,False
K,LCO/CSP.K,LCO,RetroCam,21504.1,3065.3,0.9203,0.5764,0.9460,0,False
K,LCO/RetroCam.K,LCO,RetroCam,21504.1,3065.3,0.9203,0.5764,0.9460,0,False
K,LCO/MMIRS.K,LCO,MMIRS,21453.8,3226.3,0.9218,0.5882,0.9468,0,False
K,Gemini/TReCS.k,Gemini,TReCS,21621.3,4083.2,0.9267,0.7095,0.9383,0,False
K,Gemini/GSAOI.K,Gemini,GSAOI,21803.5,3240.7,0.9315,0.5921,0.9544,0,False
K,MKO/MIRSI.K,MKO,MIRSI,21721.2,3973.1,0.9325,0.6517,0.9606,0,False
K,Subaru/MOIRCS.K,Subaru,MOIRCS,21811.1,3941.1,0.9337,0.6344,0.9604,0,False
